,model,wape,rmse,r2,mape,mae,product_category,rank_mape,rank_wape,rank_rmse,rank_mae,rank_r2,base_mae,base_rmse,mase,rmsse,rank_rmsse,rank_mase,min_wape,min_rmse,min_r2,min_mape,max_wape,max_rmse,max_r2,max_mape,max_mae,min_mae
10,prophet,2634.018729653221,35.89206946858566,-0.012447561941060892,0.2588064142356863,29.596058305238373,furniture_decor,1.0,1.0,1.0,1.0,1.0,26.48684210526316,40.18264223320942,1.1173871988068138,0.8932232295795182,1.0,1.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
11,xgb,3968.998468137255,48.754166488619205,-0.8680952307857615,0.36525711333359545,42.96875,furniture_decor,2.0,3.0,2.0,2.0,2.0,26.48684210526316,40.18264223320942,1.6222677595628414,1.2133141022848355,2.0,2.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
12,sarima,3389.163125919539,48.84510824512467,-0.4237606121065258,0.33840660015590396,38.85063161869268,housewares,3.0,2.0,3.0,3.0,3.0,21.06578947368421,28.917532470985943,1.8442523441727945,1.6891174340041917,3.0,3.0,453.1588219170658,7.271056376595473,-9.191471967543073,0.0673355825400554,3756.5902094666662,47.094104025365816,-0.1462656490299008,0.5912888585231534,44.0936530889516,6.614373147896618
13,prophet,2993.0400785336433,41.58944571693361,-0.03219341970099987,0.3066002232171615,36.09948531713002,housewares,2.0,1.0,1.0,1.0,1.0,21.06578947368421,28.917532470985943,1.71365451848962,1.4382086631583064,1.0,1.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
14,xgb,4047.13555372807,47.73821844183128,-0.35996344886104037,0.2717041393359519,37.0,housewares,1.0,3.0,2.0,2.0,2.0,21.06578947368421,28.917532470985943,1.7564022485946285,1.650839970171343,2.0,2.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
15,sarima,2856.9509610431924,43.30874168230608,-0.07268906136972508,0.26752810928752946,30.18310929744979,watches_gifts,2.0,2.0,2.0,2.0,2.0,17.105263157894736,28.77498913987632,1.76455100508168,1.505082815905877,2.0,2.0,453.1588219170658,7.271056376595473,-9.191471967543073,0.0673355825400554,3756.5902094666662,47.094104025365816,-0.1462656490299008,0.5912888585231534,44.0936530889516,6.614373147896618
16,prophet,2192.28443419389,42.944695271320946,-0.054731147511625,0.25456228608283404,28.178700576822873,watches_gifts,1.0,1.0,1.0,1.0,1.0,17.105263157894736,28.77498913987632,1.6473701875681064,1.4924313285598527,1.0,1.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
17,xgb,3710.076374481328,48.88091396445038,-0.36647394711680237,0.31059806372760745,38.28125,watches_gifts,3.0,3.0,3.0,3.0,3.0,17.105263157894736,28.77498913987632,2.237980769230769,1.698729188978609,3.0,3.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
18,sarima,1002.3191256690378,24.191785896066428,-0.16263946407990093,0.30263565522320857,18.842653569902993,telephony,2.0,2.0,2.0,2.0,2.0,12.81578947368421,18.55149305950446,1.4702686563784675,1.3040344417816163,2.0,2.0,453.1588219170658,7.271056376595473,-9.191471967543073,0.0673355825400554,3756.5902094666662,47.094104025365816,-0.1462656490299008,0.5912888585231534,44.0936530889516,6.614373147896618
19,prophet,656.2989467854861,17.604318465718837,0.38433050929786705,0.19773696813230401,12.942524112483387,telephony,1.0,1.0,1.0,1.0,1.0,12.81578947368421,18.55149305950446,1.0098889451219069,0.948943484454457,1.0,1.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
20,xgb,1892.814435840708,38.67613928509411,-1.9716347692815086,0.43506441659413275,30.65625,telephony,3.0,3.0,3.0,3.0,3.0,12.81578947368421,18.55149305950446,2.3920687885010268,2.084799275241042,3.0,3.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
